algo,feature_set,curve,x,y
decision_tree,full,pr,0.9793233082706767,0.08646687846744748
decision_tree,full,pr,0.9779806659505907,0.08675973128781743
decision_tree,full,pr,0.9752953813104189,0.08697109743540624
decision_tree,full,pr,0.973952738990333,0.08729241877256318
decision_tree,full,pr,0.9709989258861439,0.08785014941327957
decision_tree,full,pr,0.9685821697099892,0.08808733027254079
decision_tree,full,pr,0.9656283566058003,0.08850385173882011
decision_tree,full,pr,0.9648227712137487,0.08883669180368402
decision_tree,full,pr,0.9621374865735768,0.08901421047401371
decision_tree,full,pr,0.9599892588614393,0.08934149693864801
decision_tree,full,pr,0.9562298603651987,0.08945887554640004
decision_tree,full,pr,0.9554242749731472,0.08981673145857526
decision_tree,full,pr,0.9532760472610097,0.09051273552433645
decision_tree,full,pr,0.9516648764769066,0.0908159081590816
decision_tree,full,pr,0.949516648764769,0.0913836770558743
decision_tree,full,pr,0.9457572502685284,0.09155185859110995
decision_tree,full,pr,0.9433404940923737,0.09192725369619259
decision_tree,full,pr,0.9425349087003222,0.09221311475409837
decision_tree,full,pr,0.9385069817400644,0.09259013961374414
decision_tree,full,pr,0.9377013963480129,0.09286987048216802
decision_tree,full,pr,0.9366272824919442,0.09317981460208906
decision_tree,full,pr,0.9344790547798066,0.09373737373737374
decision_tree,full,pr,0.9334049409237379,0.0941418627955475
decision_tree,full,pr,0.9309881847475833,0.09430677583439871
decision_tree,full,pr,0.9250805585392051,0.09451303155006859
decision_tree,full,pr,0.923469387755102,0.09481142479047198
decision_tree,full,pr,0.9213211600429646,0.09502575749182961
decision_tree,full,pr,0.9167561761546724,0.09521950131087187
decision_tree,full,pr,0.9143394199785178,0.09545034059372635
decision_tree,full,pr,0.9129967776584318,0.09626546617967666
decision_tree,full,pr,0.9092373791621912,0.09658831583751712
decision_tree,full,pr,0.9070891514500538,0.09703271766294201
decision_tree,full,pr,0.9046723952738991,0.09735868685701075
decision_tree,full,pr,0.9014500537056928,0.09770081490104773
decision_tree,full,pr,0.8979591836734694,0.09797257705379116
decision_tree,full,pr,0.8971535982814178,0.09847904262217769
decision_tree,full,pr,0.8936627282491945,0.09874491884995401
decision_tree,full,pr,0.8912459720730398,0.09914565658979567
decision_tree,full,pr,0.8896348012889366,0.099522364745111
decision_tree,full,pr,0.8882921589688507,0.10001209336074494
decision_tree,full,pr,0.8856068743286788,0.10033159928204193
decision_tree,full,pr,0.881578947368421,0.10070861069357956
decision_tree,full,pr,0.8780880773361976,0.10109441662029309
decision_tree,full,pr,0.875671321160043,0.10134883142715068
decision_tree,full,pr,0.8732545649838883,0.10143797373592439
decision_tree,full,pr,0.8694951664876477,0.10190401258851298
decision_tree,full,pr,0.8665413533834586,0.10214611293998481
decision_tree,full,pr,0.8654672395273899,0.1026825538422327
decision_tree,full,pr,0.8638560687432868,0.10349375884699524
decision_tree,full,pr,0.8619763694951665,0.10375589889456333
decision_tree,full,pr,0.8603651987110634,0.10433083686095734
decision_tree,full,pr,0.8600966702470462,0.10490289195296892
decision_tree,full,pr,0.8558002148227712,0.10513641012107017
